Date,Value
2021-12-31,-0.9865
2022-03-31,-2.2358
2022-06-30,-3.3388
2022-09-30,-4.9143
2022-12-31,-6.2114
2023-03-31,-7.6242
2023-06-30,-8.7445
2023-09-30,-9.8253
2023-12-31,-10.6356
2024-03-31,-11.0108
2024-06-30,-11.2587
2024-09-30,-11.1976
2024-12-31,-12.4608
2025-03-31,-12.6017
2025-06-30,-12.3608
2025-09-30,-11.9966
2025-12-31,-11.586
2026-03-31,-11.3204
