Date,Value
2006-03-01,-0.560106336
2006-04-01,-0.4512001671
2006-05-01,-0.6911007674
2006-06-01,-0.4491422705
2006-07-01,-0.4169071665
2006-08-01,-0.5779008658
2006-09-01,-0.5197861636
2006-10-01,-0.6399540179
2006-11-01,-0.7335643681
2006-12-01,-0.6730225528
2007-01-01,-0.715427043
2007-02-01,-0.7202064312
2007-03-01,-0.4864963099
2007-04-01,-0.2628512972
2007-05-01,-0.5609364078
2007-06-01,-0.57863522
2007-07-01,-0.2063995548
2007-08-01,0.7457417577
2007-09-01,0.3597776306
2007-10-01,0.3485444422
2007-11-01,0.9991409562
2007-12-01,1.0687848469
2008-01-01,1.5520664165
2008-02-01,1.3015013687
2008-03-01,1.9457672755
2008-04-01,1.6353432155
2008-05-01,1.0487535273
2008-06-01,1.692600416
2008-07-01,2.4612603424
2008-08-01,1.7725722352
2008-09-01,2.8223496991
2008-10-01,5.7486696721
2008-11-01,5.8310287796
2008-12-01,5.6815071002
2009-01-01,5.7882160305
2009-02-01,4.8649730127
2009-03-01,4.8357125447
2009-04-01,4.7134030664
2009-05-01,3.228799349
2009-06-01,1.8868399671
2009-07-01,1.8548659892
2009-08-01,1.3571570022
2009-09-01,1.0249299269
2009-10-01,0.8929081607
2009-11-01,0.711739275
2009-12-01,0.58646032
2010-01-01,0.6346228441
2010-02-01,0.3459862087
2010-03-01,-0.0044823125
2010-04-01,-0.1684615791
2010-05-01,0.6182694875
2010-06-01,0.5354198208
2010-07-01,0.4850846367
2010-08-01,0.2315629259
2010-09-01,0.1702277015
2010-10-01,0.208146122
2010-11-01,0.0341970979
2010-12-01,-0.1171416238
2011-01-01,-0.2201353294
2011-02-01,-0.4256117413
2011-03-01,-0.2594141924
2011-04-01,-0.3755534513
2011-05-01,-0.413597322
2011-06-01,-0.1760498888
2011-07-01,-0.0564230124
2011-08-01,0.7380056553
2011-09-01,0.8886414019
2011-10-01,0.9720741896
2011-11-01,0.5780445992
2011-12-01,0.554577853
2012-01-01,0.4071551227
2012-02-01,0.0859345395
2012-03-01,-0.0742121815
2012-04-01,-0.0262047717
2012-05-01,0.1483333267
2012-06-01,0.1283615742
2012-07-01,0.0751035801
2012-08-01,-0.2328649446
2012-09-01,-0.3520883545
2012-10-01,-0.3290744982
2012-11-01,-0.3544383773
2012-12-01,-0.3995892144
2013-01-01,-0.4838227164
2013-02-01,-0.5774125607
2013-03-01,-0.5410932552
2013-04-01,-0.3964648913
2013-05-01,-0.5244644925
2013-06-01,-0.3424685078
2013-07-01,-0.5092409582
2013-08-01,-0.6288660367
2013-09-01,-0.6442910561
2013-10-01,-0.6145303182
2013-11-01,-0.742725195
2013-12-01,-0.9277380541
2014-01-01,-0.7813415609
2014-02-01,-0.7974628081
2014-03-01,-0.7646078654
2014-04-01,-0.8198602738
2014-05-01,-0.9596593137
2014-06-01,-1.0281281843
2014-07-01,-0.8858713002
2014-08-01,-0.8253256713
2014-09-01,-0.8092353076
2014-10-01,-0.3211398223
2014-11-01,-0.6820078681
2014-12-01,-0.4917559416
2015-01-01,-0.1504055754
2015-02-01,-0.3622634753
2015-03-01,-0.4350137229
2015-04-01,-0.4695036015
2015-05-01,-0.7166435608
2015-06-01,-0.5955486997
2015-07-01,-0.4454417032
2015-08-01,-0.2229362239
2015-09-01,-0.0545504846
2015-10-01,-0.2228100597
2015-11-01,-0.3339308776
2015-12-01,-0.0019820991
2016-01-01,0.2874306714
2016-02-01,0.5538981043
2016-03-01,-0.0152686241
2016-04-01,-0.0559779219
2016-05-01,-0.2317798128
2016-06-01,-0.0339924169
2016-07-01,-0.1976278139
2016-08-01,-0.2956096409
2016-09-01,-0.3328438839
2016-10-01,-0.4084534181
2016-11-01,-0.2121955833
2016-12-01,-0.6160368784
2017-01-01,-0.529633723
2017-02-01,-0.6741007011
2017-03-01,-0.6457322737
2017-04-01,-0.5725786826
2017-05-01,-0.7216742679
2017-06-01,-0.6172160117
2017-07-01,-0.719373008
2017-08-01,-0.7295593431
2017-09-01,-0.7183072151
2017-10-01,-0.800190968
2017-11-01,-0.7386605511
2017-12-01,-0.7764113676
2018-01-01,-0.8207291442
2018-02-01,-0.5080618078
2018-03-01,-0.5782193138
2018-04-01,-0.3606475148
2018-05-01,-0.587840224
2018-06-01,-0.570036158
2018-07-01,-0.4322415015
2018-08-01,-0.7256131497
2018-09-01,-0.7292711627
2018-10-01,-0.293394036
2018-11-01,-0.3340709585
2018-12-01,-0.0337754729
2019-01-01,-0.025806224
2019-02-01,-0.4699975712
2019-03-01,-0.401620342
2019-04-01,-0.4700376581
2019-05-01,-0.4030192679
2019-06-01,-0.3947162693
2019-07-01,-0.567637428
2019-08-01,-0.2253081118
2019-09-01,-0.3502461617
2019-10-01,-0.3422469494
2019-11-01,-0.605317893
2019-12-01,-0.5875278777
2020-01-01,-0.5419045886
2020-02-01,-0.3717697291
2020-03-01,2.3593794329
2020-04-01,1.7427668431
2020-05-01,1.0034307285
2020-06-01,0.5293626398
2020-07-01,0.3514712009
2020-08-01,0.0365969581
2020-09-01,0.1369262947
2020-10-01,0.3016041311
2020-11-01,0.3200695886
2020-12-01,-0.3705712951
2021-01-01,-0.1747256135
2021-02-01,-0.3868150096
2021-03-01,-0.3356127437
2021-04-01,-0.6926774761
2021-05-01,-0.814918341
2021-06-01,-0.703534758
2021-07-01,-0.6816308094
2021-08-01,-0.7552563419
2021-09-01,-0.7246875252
2021-10-01,-0.7234751773
2021-11-01,-0.6971134789
2021-12-01,-0.5614408656
